,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
276,2.816,20,1500,1520,1,80,98,2.816
277,3.114,15,1700,1715,13,1,98,3.114
278,35.186,35,405,440,1,40,99,35.186
279,19.615,33,445,518,11,10,99,19.615
280,55.686,107,1528,1715,3,1,99,55.686
281,3.553,6,708,714,1,10,100,3.553
282,3.073,15,630,645,3,10,101,3.073
283,109.326,105,1200,1345,3,20,101,109.326
284,2.819,15,1630,1645,8,1,101,2.819
285,1.921,10,1700,1710,1,40,101,1.921
286,1.908,10,1730,1740,11,1,101,1.908
287,9.073,7,1030,1037,1,10,102,9.073
288,9.071,10,1330,1340,3,1,102,9.071
289,2.959,8,750,758,1,10,103,2.959
290,2.989,10,1200,1210,3,1,103,2.989
291,2.959,10,1255,1305,1,10,103,2.959
292,2.989,10,1530,1540,3,1,103,2.989
293,2.407,11,1105,1116,1,40,105,2.407
294,2.531,10,1125,1135,14,1,105,2.531
295,2.173,10,1845,1855,1,40,105,2.173
296,1.768,12,1948,2000,11,1,105,1.768
297,4.834,15,1155,1210,1,80,106,-1.0
298,11.982,35,1315,1350,13,50,106,-1.0
299,11.015,25,1420,1445,15,20,106,-1.0
300,2.758,10,1500,1510,19,40,106,-1.0
301,3.1,10,1520,1530,11,1,106,-1.0
302,1.193,5,1635,1640,1,20,106,1.193
303,1.193,5,1955,2000,19,1,106,1.193
304,1.028,5,840,845,1,10,107,1.028
305,10.749,30,1415,1445,3,50,107,10.749
306,10.748,20,1455,1515,17,10,107,10.748
307,1.028,5,1700,1705,3,1,107,1.028
308,10.922,35,1830,1905,1,10,107,10.922
309,10.147,35,2205,2240,3,1,107,10.147
310,0.959,5,1100,1105,1,40,108,0.959
311,0.185,2,1200,1202,11,40,108,0.185
312,1.258,10,1300,1310,11,1,108,1.258
313,1.194,5,1600,1605,1,40,108,1.194
314,1.258,5,1630,1635,11,1,108,1.258
315,6.039,30,830,900,1,10,109,-1.0
316,4.99,25,905,930,6,1,109,4.99
317,6.039,30,1800,1830,1,50,109,6.039
318,4.99,30,2200,2230,3,1,109,-1.0
319,21.781,25,620,645,1,10,110,21.781
320,6.896,10,1330,1340,3,10,110,6.896
321,6.638,15,1400,1415,3,10,110,6.638
322,21.572,30,1800,1830,3,1,110,21.572
323,0.957,5,730,735,1,70,111,0.957
324,3.491,10,740,750,6,10,111,3.491
325,3.563,10,1450,1500,3,70,111,3.563
326,1.676,3,1505,1508,6,70,111,1.676
327,2.283,4,1520,1524,6,50,111,2.283
328,0.828,4,710,714,1,70,112,0.828
329,19.945,24,716,740,6,40,112,19.945
330,19.794,25,745,810,11,10,112,19.794
331,2.886,15,930,945,3,80,112,2.886
332,28.964,40,950,1030,13,10,112,28.964
333,11.098,20,1250,1310,3,10,112,11.098
334,16.749,30,1345,1415,3,10,112,16.749
335,40.078,55,1815,1910,3,97,112,40.078
336,0.319,5,1940,1945,5,80,112,0.319
337,0.912,5,2000,2005,6,1,112,-1.0
338,4.466,15,815,830,1,10,115,4.466
339,4.536,30,1200,1230,4,10,115,4.536
340,10.967,30,1400,1430,4,80,115,10.967
341,10.88,30,1530,1600,13,1,115,10.88
342,23.435,30,600,630,3,1,116,23.435
343,5.36,15,1200,1215,1,50,116,5.36
344,4.847,15,1500,1515,17,1,116,4.847
345,22.82,30,2100,2130,1,10,116,22.82
346,4.35,30,630,700,3,10,117,4.35
347,14.016,30,930,1000,3,10,117,14.016
348,13.578,30,1100,1130,3,10,117,13.578
349,5.459,15,1300,1315,3,10,117,5.459
350,9.968,30,1530,1600,3,10,117,9.968
